AVARU_G2_Northern_Gydan_eltroeva_2017_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Northern Gydan (G2) Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Elena Troeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M. Y., Troeva, E. I., Ermokhina, K. A., & Pristyazhnyuk, A. (2019). Vegetation of the two regions of the northern part of the Gydan Peninsula (the subzone of typical tundras). Turczaninowia, 22(4), 128–144. https://doi.org/10.14258/turczaninowia.22.4.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Northern Gydan (G2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,G2_2,G2_4,G2_6,G2_8,G2_11,G2_12,G2_14,G2_16,G2_17,G2_19,G2_22,G2_24,G2_26,G2_28,G2_30,G2_31,G2_33,G2_35,G2_36,G2_38,G2_40,G2_41,G2_43,G2_45,G2_47,G2_49,G2_51,G2_52,G2_55,G2_57,G2_59,G2_62,G2_64,G2_66,G2_68,G2_70,G2_72,G2_73,G2_75,G2_78,G2_80,G2_82,G2_84,G2_86,G2_88,G2_90,G2_92,G2_94,G2_95,G2_97,G2_99,G2_101,G2_104,G2_105,G2_107,G2_109,G2_112,G2_114,G2_116,G2_118,G2_120,G2_121,G2_123,G2_125,G2_127,G2_130,G2_131,G2_132,G2_137,G2_139,G2_140,G2_143,G2_144,G2_146,G2_148,G2_150,G2_152,G2_154,G2_156,G2_158,G2_160,G2_162
Dupontia psilosantha,Dupontia fisheri tetraploid morph (psilosantha) ,Dupontia psilosantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encalypta alpina,Encalypta alpina Sm.,Encalypta alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium palustre,Epilobium palustre L.,Epilobium palustre,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Equisetum arvense,Equisetum arvense L.,Equisetum arvense,15,0,30,0,0,15,0,0,30,0,5,0,30,0,2,10,5,0,3,25,0,2,0,5,25,0,0,0,40,4,10,3,0,0,5,0,4,0,3,0,0,4,0,15,25,0,0,4,4,10,2,40,2,0,0,10,2,0,5,80,15,0,2,3,0,0,5,5,0,10,20,0,40,25,0,0,0,0,0,0,0,4
Equisetum scirpoides,Equisetum scirpoides Michx.,Equisetum scirpoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum brachyantherum,Eriophorum brachyantherum Trautv. & C.A. Mey.,Eriophorum brachyantherum,0,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,25,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum medium,Eriophorum tolmatchevii M.S. Novos.,Eriophorum x medium,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Eriophorum polystachion,Eriophorum angustifolium Honck.,Eriophorum polystachyon,0,2,5,5,3,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,35,2,0,0,0,20,15,0,0,0,3,2,3,10,5,15,0,10,0,0,2,2,0,0,0,5,10,2,10,5,0,15,2,0,10,3,0,0,3,0,2,0,5,0,15,0,0,10,0,0,5,0,2,3,0,0,3,0,0,0,0
Eriophorum russeolum,Eriophorum russeolum Fr. ex Hartm.,Eriophorum russeolum,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0
Eriophorum scheuchzeri,Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri,0,0,0,10,4,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum vaginatum,Eriophorum vaginatum L.,Eriophorum vaginatum,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrichium villosum,Eritrichium villosum (Ledeb.) Bunge,Eritrichium villosum,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurhynchium pulchellum,Eurhynchium pulchellum (Hedw.) Jennings,Eurhynchium pulchellum,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Eutrema edwardsii,Eutrema edwardsii R. Br.,Eutrema edwardsii,2,0,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Festuca brachyphylla,Festuca brachyphylla Schult.,Festuca brachyphylla,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca ovina [s. ovina],Festuca ovina [s. ovina] L.,Festuca ovina,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Festuca rubra,Festuca rubra L.,Festuca rubra,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Fissidens adianthoides,Fissidens adianthoides Hedw.,Fissidens adianthoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavocetraria cucullata,Flavocetraria cucullata (Bell.) KÄrnefelt & Thell,Flavocetraria cucullata,2,2,0,0,0,0,2,0,2,2,2,2,2,3,0,2,0,0,2,3,3,0,3,2,0,0,0,2,0,2,10,0,3,2,3,2,0,0,0,2,3,2,3,2,0,0,2,0,3,0,3,3,2,2,3,0,2,3,2,0,3,3,3,0,3,0,5,3,2,2,0,0,2,2,0,3,0,2,0,2,2,3
Flavocetraria nivalis,Flavocetraria nivalis (L.) KÄrnefelt & Thell,Flavocetraria nivalis,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,2
Gastrolychnis apetala,Silene wahlbergella Chowdhuri,Gastrolychnis apetala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastrolychnis involucrata,Silene involucrata (Cham. & Schltdl.) Bocquet,Gastrolychnis involucrata,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gowardia nigricans,Gowardia nigricans (Ach.) P.Halonen,Alectoria nigricans,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,2,2
Grimmia nivalis,Grimmia donniana Sm.,Grimmia ovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamatocaulis vernicosus,Hamatocaulis vernicosus (Mitt.) Hedenas,Hamatocaulis vernicosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedysarum arcticum,Hedysarum hedysaroides s. arcticum (B. Fedtsch.) P.W. Ball,Hedysarum arcticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hierochloû alpina,Hierochloû alpina (Sw.) Roem. & Schult.,Hierochloe alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Hierochloû pauciflora,Hierochloû pauciflora R. Br.,Hierochloe pauciflora,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,15,0,3,0,0,4,0,0,15,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Hippuris lanceolata,Hippuris lanceolata Retz.,Hippuris x lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Huperzia arctica,Huperzia arctica (Grossh. ex Tolm.) Sipliv.,Huperzia arctica,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Hylocomium splendens,Hylocomium splendens (Hedw.) Schimp.,Hylocomium splendens,80,60,70,5,0,0,3,0,20,80,80,0,80,50,5,50,0,0,60,0,2,70,30,10,0,0,60,80,20,3,0,0,70,30,10,60,10,3,5,70,20,20,80,20,0,0,80,0,70,0,60,15,0,0,40,0,90,50,30,0,60,60,50,0,85,0,2,20,60,2,0,0,0,10,0,2,0,70,0,0,2,2
Hypnum cupressiforme,Hypnum cupressiforme Hedw.,Hypnum cupressiforme,0,0,0,25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnum pratense,Hypnum pratense J. Koch ex Spruce,Hypnum pratense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnum species,Hypnum species ,Hypnum species,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Isopterygiopsis pulchella,Isopterygiopsis pulchella (Hedw.) Iwats.,Isopterygiopsis pulchella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus biglumis,Juncus biglumis L.,Juncus biglumis,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koeleria asiatica,Koeleria asiatica Domin,Koeleria asiatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagotis minor,Lagotis glauca s. minor (Willd.) HultÂn,Lagotis minor,2,2,3,0,0,4,2,0,3,0,2,3,3,2,0,2,0,0,2,2,3,0,2,0,2,0,2,2,3,2,0,0,2,2,2,2,0,0,2,2,0,3,0,0,0,0,2,0,0,0,3,3,0,2,3,0,2,2,2,0,3,3,3,0,2,0,2,0,2,3,2,0,3,3,0,0,0,0,0,0,2,0
Lichenomphalia hudsoniana,Lichenomphalia hudsoniana (H.S. Jenn.) Redhead et al.,Botrydina viridis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limprichtia cossonii,Limprichtia cossonii (Schimp.) L.E. Anders.,Limprichtia cossoni,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limprichtia revolvens,Limprichtia revolvens (Swartz) Loeske,Limprichtia revolvens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
Lloydia serotina,Lloydia serotina (L.) Rchb.,Lloydia serotina,0,0,0,0,0,2,2,0,2,0,2,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
Lobaria linita,Lobaria linita (Ach.) Rabenh.,Lobaria linita,0,2,0,0,0,2,2,0,0,3,2,3,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,2,0,0,2,2,2,2,2,2,0,2,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,2
Luzula confusa,Luzula confusa Lindeb.,Luzula confusa,2,3,0,0,0,0,3,0,3,0,4,2,0,3,3,3,0,0,2,3,3,0,3,3,0,0,2,3,0,3,3,0,3,3,2,3,0,0,0,3,3,3,2,0,2,0,2,0,3,0,3,0,0,0,3,0,3,3,3,0,2,3,2,0,3,0,2,3,2,0,0,0,2,0,0,2,0,0,0,0,0,3
Luzula multiflora,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luzula nivalis,Luzula nivalis (Laest.) Spreng.,Luzula nivalis,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luzula tundricola,Luzula kjellmaniana Miyabe & KudÓ,Luzula tundricola,2,3,0,0,0,2,3,0,2,2,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,2,3,3,0,0,0,2,3,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Luzula wahlenbergii,Luzula wahlenbergii Rupr.,Luzula wahlenbergii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Meesia triquetra,Meesia triquetra (H. Richter) Aongstr.,Meesia triquetra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Meesia uliginosa,Meesia uliginosa Hedw.,Meesia uliginosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minuartia arctica,Minuartia arctica (Steven ex Ser.) Graebn.,Minuartia arctica,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minuartia macrocarpa,Minuartia macrocarpa (Pursh) Ostenf.,Minuartia macrocarpa,0,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minuartia rubella,Minuartia rubella (Wahlenb.) Hiern,Minuartia rubella,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mnium ambiguum,Mnium ambiguum H. L. H. MÁll.,Mnium ambiguum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mnium blyttii,Mnium blyttii Bruch & Schimp.,Mnium blyttii,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mnium spinosum,Mnium spinosum (Voit) Schwaegr.,Mnium spinosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myosotis asiatica,Myosotis alpestris s. asiatica Vestergr.,Myosotis asiatica,3,0,2,0,0,3,0,0,0,2,3,3,4,0,0,2,0,0,0,2,0,3,2,0,0,0,2,0,2,0,2,0,2,0,0,2,2,0,2,2,2,2,2,3,2,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,3
Myurella julacea,Myurella julacea (Schwaegr.) Schimp.,Myurella julacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myurella tenerrima,Myurella tenerrima (Brid.) Lindb.,Myurella tenerrima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nephroma arcticum,Nephroma arcticum (L.) Torss.,Nephroma arcticum,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Nephroma expallidum,Nephroma expallidum (Nyl.) Nyl.,Nephroma expallidum,2,2,0,0,0,3,3,0,2,0,2,2,2,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,2,0,2,2,2,0,0,0,0,0,2,0,2,2,2,0,2,0,2,2,3,0,0,2,2,0,2,0,3,0,2,2,0,0,2,2,0,0,0,0,0,0,0,2
